var_negocio_1,marg_cont,tipo_contacto_otro,var_negocio_5,ratio_ingresos_deuda,tipo_contacto_telefono_fijo,vlr_ingresos,ingresos_per_capita,target,nro_contactos,var_negocio_3,var_negocio_4,dias_ultima_camp,mes_contacto_may,buro_max_deuda,ratio_deuda_creditos,mes_contacto_mar,mes_contacto_sep,edad,var_negocio_2,mes_contacto_oct
1.1,39934.283060224654,0,5191,0.3308666597000787,1,1502287.936143504,26355.928704272,0,0,-36.4,4857,999,1,4540463.331981788,1513487.7773272628,0,0,57,93994,0
1.1,27234.713976576302,0,5191,0.0909878263720165,1,1361735.6988288152,36803.667535913926,0,0,-36.4,4857,999,1,14966130.669625713,1662903.4077361904,0,0,37,93994,0
1.1,42953.770762013846,0,5191,4.764605443047964,1,2147688.5381006924,53692.21345251731,0,0,-36.4,4857,999,1,450758.94820092287,225379.47410046143,0,0,40,93994,0
1.1,151151.49282040127,0,5191,2.0662174769225397,1,3023029.856408025,53982.676007286165,0,0,-36.4,4857,999,1,1463074.3811685198,487691.4603895066,0,0,56,93994,0
1.1,25316.93250553328,0,5191,0.09519025211815835,1,1265846.625276664,50633.86501106656,0,0,-36.4,4857,999,1,13298069.887506822,1662258.7359383528,0,0,25,93994,0
1.1,25317.26086101639,0,5191,0.1462804453191667,1,1265863.0430508195,30874.70836709316,0,0,-36.4,4857,999,1,8653672.336646607,2163418.084161652,0,0,41,93994,0
1.1,153960.64077536957,0,5191,0.20396925374041724,1,3079212.8155073915,123168.51262029566,0,0,-36.4,4857,999,1,15096455.760073384,3774113.940018346,0,0,25,93994,0
1.1,45348.694583058175,0,5191,0.6057543230512733,1,2267434.7291529085,78187.40445354857,0,0,-36.4,4857,999,1,3743158.9719929816,623859.8286654969,0,0,29,93994,0
1.1,20610.51228130096,0,5191,0.06624508386578098,1,1030525.6140650478,29443.588973287082,0,0,-36.4,4857,999,1,15556257.973089648,3889064.493272412,0,0,35,93994,0
1.1,40851.200871719295,0,5191,0.19546340076833615,1,2042560.0435859647,44403.479208390534,0,0,-36.4,4857,999,1,10449833.756892491,3483277.918964164,0,0,46,93994,0
1.1,20731.646143750757,0,5191,0.11809434012406483,1,1036582.3071875375,20731.64614375075,0,0,-36.4,4857,999,1,8777578.214997847,1462929.702499641,0,0,50,93994,0
1.1,20685.404928594864,0,5191,0.06669613903113342,1,1034270.2464297432,18804.913571449877,0,0,-36.4,4857,999,1,15507198.189492667,1938399.7736865834,0,0,55,93994,0
1.1,34839.24543132068,0,5191,0.16229111367250385,1,1741962.271566034,47080.061393676595,0,0,-36.4,4857,999,1,10733565.332980802,1788927.5554968005,0,0,37,93994,0
1.1,10000.0,0,5191,0.13131935063785666,1,500000.0,14285.714285714286,0,0,-36.4,4857,999,1,3807511.974216695,951877.9935541737,0,0,35,93994,0
1.1,10000.0,0,5191,0.15892064007700155,1,500000.0,12820.51282051282,0,0,-36.4,4857,999,1,3146224.428480378,349580.49205337535,0,0,39,93994,0
1.1,18754.249415180548,0,5191,0.05459104412449072,1,937712.4707590272,15893.431707780122,0,0,-36.4,4857,999,1,17177038.574690845,4294259.643672711,0,0,59,93994,0
1.1,10000.0,0,5191,0.04279501156003918,1,500000.0,10204.081632653062,0,0,-36.4,4857,999,1,11683604.74207434,3894534.91402478,0,0,49,93994,0
1.1,36284.94665190548,0,5191,2.04282293715875,1,1814247.3325952736,53360.21566456687,0,0,-36.4,4857,999,1,888107.9703944438,126872.56719920626,0,0,34,93994,0
1.1,11839.518489575785,0,5191,0.03020796764016626,1,591975.9244787891,11384.152393822867,0,0,-36.4,4857,999,1,19596681.62818288,2177409.069798098,0,0,52,93994,0
1.1,10000.0,0,5191,0.13048379781513145,1,1502287.936143504,36641.16917423181,0,0,-36.4,4857,999,1,11513214.370660298,3837738.1235534325,0,0,41,93994,0
1.1,59312.97537843108,0,5191,0.1586144615638277,1,2965648.768921554,52958.01373074204,0,0,-36.4,4857,999,1,18697215.497769438,3116202.582961573,0,0,56,93994,0
1.1,25484.473990269285,0,5191,0.06519225463933218,1,1274223.6995134642,39819.49060979576,0,0,-36.4,4857,999,1,19545630.17589964,3909126.035179928,0,0,32,93994,0
1.1,31350.56409375848,0,5191,0.1048337444841514,1,1567528.204687924,41250.74222862958,0,0,-36.4,4857,999,1,14952515.646571226,4984171.882190409,0,0,38,93994,0
1.1,10000.0,0,5191,0.03246463720614986,1,500000.0,8771.929824561403,0,0,-36.4,4857,999,1,15401373.402850894,2566895.5671418156,0,0,57,93994,0
1.1,19112.345509496343,0,5191,0.12358488432094861,1,955617.2754748174,22752.792273209936,0,0,-36.4,4857,999,1,7732476.999315625,2577492.3331052084,0,0,42,93994,0
1.1,32218.45179419732,0,5191,0.30825781242498435,1,1610922.589709866,28261.799819471336,0,0,-36.4,4857,999,1,5225893.796615098,653236.7245768872,0,0,57,93994,0
1.1,10000.0,0,5191,0.07280634200311333,1,500000.0,14285.714285714286,0,0,-36.4,4857,999,1,6867533.600007251,858441.7000009064,0,0,35,93994,0
1.1,37513.96036691344,0,5191,2.0407513755857485,1,1875698.018345672,41682.17818545938,0,0,-36.4,4857,999,1,919121.2809092426,229780.32022731064,0,0,45,93994,0
1.1,17987.2262016239,0,5191,0.13910778146049735,1,899361.310081195,16654.839075577685,0,0,-36.4,4857,999,1,6465212.086906785,2155070.695635595,0,0,54,93994,0
1.1,24166.12500413447,0,5191,0.14204857935727552,1,1208306.250206723,30982.211543762132,0,0,-36.4,4857,999,1,8506288.874369059,1215184.1249098654,0,0,39,93994,0
1.1,17965.867755412062,0,5191,0.3110640363326635,1,898293.3877706031,17965.867755412062,0,0,-36.4,4857,999,1,2887808.563025057,577561.7126050114,0,0,50,93994,0
1.1,167613.9092254469,0,5191,0.46176946681473563,1,3352278.184508938,71325.06775550931,0,0,-36.4,4857,999,1,7259635.869025289,1037090.8384321842,0,0,47,93994,0
1.1,29730.05550524133,0,5191,0.20675241218273782,1,1486502.7752620662,29147.11324043267,0,0,-36.4,4857,999,1,7189772.344461079,7189772.344461079,0,0,51,93994,0
1.1,10000.0,0,5191,0.037707018585695314,1,500000.0,10416.666666666666,0,0,-36.4,4857,999,1,13260130.8391346,2652026.16782692,0,0,48,93994,0
1.1,46450.89824206378,0,5191,0.20992891637142946,1,2322544.912103189,52785.11163870885,0,0,-36.4,4857,999,1,11063482.59328832,2765870.64832208,0,0,44,93994,0
1.1,10000.0,0,5191,0.08369848319738499,1,500000.0,15151.515151515152,0,0,-36.4,4857,999,1,5973823.908144869,995637.3180241449,0,0,33,93994,0
1.1,34177.271900095104,0,5191,0.3251809408191484,1,1708863.5950047553,30515.42133937063,0,0,-36.4,4857,999,1,5255116.092290143,583901.788032238,0,0,56,93994,0
1.1,10000.0,0,5191,0.07798073251323476,1,500000.0,11363.636363636364,0,0,-36.4,4857,999,1,6411840.257016576,1602960.064254144,0,0,44,93994,0
1.1,10000.0,0,5191,0.03484827597823094,1,500000.0,12195.121951219513,0,0,-36.4,4857,999,1,14347912.083580278,7173956.041790139,0,0,41,93994,0
1.1,33937.22471738247,0,5191,0.10523905950291512,1,1502287.936143504,40602.376652527135,0,0,-36.4,4857,999,1,14275003.437311132,2379167.2395518553,0,0,37,93994,0
1.1,44769.33159990821,0,5191,0.11980626717794436,1,2238466.5799954105,40699.39236355292,0,0,-36.4,4857,999,1,18684052.45170262,2335506.5564628276,0,0,55,93994,0
1.1,33427.36562379941,0,5191,0.17951887131502473,1,1671368.2811899704,50647.52367242335,0,0,-36.4,4857,999,1,9310265.09328374,1330037.870469106,0,0,33,93994,0
1.1,27687.03435223519,0,5191,1.358108979742841,1,1384351.7176117594,25170.031229304717,0,0,-36.4,4857,999,1,1019322.998566645,254830.74964166124,0,0,55,93994,0
1.1,23977.926088214223,0,5191,0.44657832655435686,1,1198896.3044107112,28545.15010501693,0,0,-36.4,4857,999,1,2684627.159721293,536925.4319442586,0,0,42,93994,0
1.1,10000.0,0,5191,0.029202780178602887,1,500000.0,13157.894736842105,0,0,-36.4,4857,999,1,17121657.490897186,17121657.490897186,0,0,38,93994,0
1.1,15603.115832105826,0,5191,0.04194295018851934,1,780155.7916052913,15921.546767454925,1,0,-36.4,4857,999,1,18600403.359772157,2657200.479967451,0,0,49,93994,0
1.1,20787.22458080425,0,5191,0.0946529243041394,1,1039361.2290402123,21211.453653881883,1,0,-36.4,4857,999,1,10980761.94350351,1220084.660389279,0,0,49,93994,0
1.1,51142.44452437831,0,5191,0.4751684520029951,1,2557122.2262189155,75209.4772417328,0,0,-36.4,4857,999,1,5381506.738167873,5381506.738167873,0,0,34,93994,0
1.1,36872.36579136923,0,5191,0.1228428218109136,1,1843618.2895684612,52674.80827338461,0,0,-36.4,4857,999,1,15007944.8061382,2143992.1151626003,0,0,35,93994,0
1.1,10000.0,0,5191,0.09934592808005588,1,500000.0,8333.333333333334,0,0,-36.4,4857,999,1,5032918.909339548,718988.4156199355,0,0,60,93994,0
1.1,36481.67938789591,0,5191,0.29746709436849056,1,1824083.9693947951,43430.57069987607,0,0,-36.4,4857,999,1,6132052.936030604,3066026.468015302,0,0,42,93994,0
1.1,22298.354391673667,0,5191,0.09944091282825673,1,1114917.7195836834,24775.949324081852,0,0,-36.4,4857,999,1,11211861.273933046,11211861.273933046,0,0,45,93994,0
1.1,16461.559993880826,0,5191,0.04680065367689926,1,823077.9996940413,19597.095230810508,0,0,-36.4,4857,999,1,17586891.101487145,2512413.0144981635,0,0,42,93994,0
1.1,42233.52577681736,0,5191,0.13434952286581928,1,2111676.288840868,39842.94884605411,0,0,-36.4,4857,999,1,15717780.337410586,2245397.1910586553,0,0,53,93994,0
1.1,50619.99044991902,0,5191,0.6036416014263581,1,2530999.522495951,68405.39249989057,0,0,-36.4,4857,999,1,4192884.5137833375,698814.0856305562,0,0,37,93994,0
1.1,48625.60238232397,0,5191,0.7930485150014448,1,2431280.1191161987,55256.36634354997,0,0,-36.4,4857,999,1,3065739.4511504374,340637.716794493,0,0,44,93994,0
1.1,13215.649535547229,0,5191,0.036875949818565255,1,660782.4767773615,12236.712532914102,0,0,-36.4,4857,999,1,17919063.23846578,5973021.079488593,0,0,54,93994,0
1.1,23815.75248297571,0,5191,0.07037684682680379,1,1190787.6241487854,34022.50354710815,0,0,-36.4,4857,999,1,16920161.641786728,1880017.9601985253,0,0,35,93994,0
1.1,36625.26862807128,0,5191,0.09242755255145577,1,1831263.431403564,42587.521660548,0,0,-36.4,4857,999,1,19812960.322454423,3962592.0644908845,0,0,43,93994,0
1.1,49510.90254244719,0,5191,0.17504354601120575,1,2475545.12712236,42681.81253659241,0,0,-36.4,4857,999,1,14142453.02688214,4714151.008960714,0,0,58,93994,0
1.1,20416.5152430942,0,5191,0.08347717946089392,1,1020825.76215471,29166.45034727743,0,0,-36.4,4857,999,1,12228800.35894038,1528600.0448675475,0,0,35,93994,0
1.1,26286.820466723657,0,5191,0.08078357647011694,1,1314341.0233361828,23897.109515203323,0,0,-36.4,4857,999,1,16269903.868670352,2033737.983583794,0,0,55,93994,0
1.1,10000.0,0,5191,0.025282636102638253,1,500000.0,13513.513513513513,0,0,-36.4,4857,999,1,19776418.80261943,6592139.600873143,0,0,37,93994,0
1.1,10000.0,0,5191,0.24011288704516398,1,1502287.936143504,41730.220448430664,0,0,-36.4,4857,999,1,6256590.200678947,782073.7750848684,0,0,36,93994,0
1.1,46250.51644788396,0,5191,4.573538048811628,1,2312525.822394198,40570.6284630561,0,0,-36.4,4857,999,1,505631.7008218783,252815.85041093914,0,0,57,93994,0
1.1,57124.80057141646,0,5191,0.34169263749104095,1,2856240.028570823,71406.00071427057,0,0,-36.4,4857,999,1,8359091.520213726,2786363.840071242,0,0,40,93994,0
1.1,28559.79756839332,0,5191,0.13497467984211178,1,1427989.878419666,34829.021424869905,0,0,-36.4,4857,999,1,10579687.094572656,1763281.182428776,0,0,41,93994,0
1.1,50070.657957840485,0,5191,0.9358645197441762,1,2503532.8978920244,59607.9261402863,0,0,-36.4,4857,999,1,2675101.8390742918,1337550.9195371459,0,0,42,93994,0
